image_id,split,retina_area_px,AVR,CRAE,CRVE,VD,AD,VeD,TI,CI,FD,ATI,VTI,AFD,VFD,JUNC,VLEN,AWID,AWID_SD,VWID,VWID_SD,WID,WID_SD,ADV_RATIO,LA,HA,EA,MAC,HE_COUNT,EX_COUNT,CTW_A,MA_A,LA_RET,HA_RET,EA_RET
525d0dd8dc45,train,254127.0,0.7097473492894095,21.242170464581385,29.929200138399658,7.321536082352525,1.2769205948207,6.044615487531825,0.974509107482766,90.0,1.304011290969625,0.9206896272449704,1.289913563867,0.872619140284645,1.2844118029575955,821,5440.0,3.7033212184906006,2.0061123371124268,3.414010524749756,2.163753032684326,3.4424941539764404,2.1311161518096924,0.2112492676258056,381,0,381,0,0,1,0,0,0.1760262422324378,0.0,0.1760262422324378
6324d77cf926,train,260076.0,0.5979846607259727,21.625912425597186,36.16466081143725,7.830018917547179,0.7720820067980129,7.057936910749166,0.9517909532431772,78.88836254539713,1.2997053279065824,0.9785497849867488,0.910716933693735,0.7177179369580561,1.2714223818218364,1440,6333.0,3.318768262863159,2.25134825706482,3.4355857372283936,2.552328824996948,3.40076231956482,2.5089807510375977,0.1093920244061887,0,0,0,0,0,0,0,0,0.0,0.0,0.0
633fe9dbaf39,train,256312.0,0.4673905886582383,11.297957460592732,24.17241111556471,7.992992914884984,0.8922719185992072,7.1007209962857765,0.9707253433941512,82.97581636835633,1.341421585141096,0.8217443488774808,1.3492469250510457,0.8361259242633089,1.313922083487215,1324,7319.0,2.733132839202881,1.02578604221344,2.944674253463745,1.6128261089324951,2.912708282470703,1.5509428977966309,0.1256593406593406,656,0,656,0,0,2,0,0,0.0219019653341301,0.0,0.0219019653341301
6377e23928f6,train,249724.0,1.8271430145417484,25.59155579344735,14.006323308997116,4.744838301484839,1.4471977062677197,3.2976405952171195,1.0773546408047956,81.86899172814665,1.20189588407602,1.034746653506391,1.0675518759855307,0.9228700517158122,1.1381736456017628,956,4473.0,3.0443637371063232,1.8210407495498655,2.688872575759888,1.245433330535889,2.766644239425659,1.4173078536987305,0.4388585306618093,12607,0,6613,1,0,27,0,5994,0.2464604182456952,0.0,0.1292807762242232
639915f58a2f,train,259233.0,0.453816057551664,21.149514523950227,46.60371569497074,7.587382779198636,0.9501105183367858,6.63727226086185,1.1766968108291045,75.58718861209964,1.262926903250334,1.1067971810589328,0.9672742633562414,0.7386089813753538,1.235296643125843,1092,5620.0,3.7406158447265625,2.6433145999908447,3.675344944000244,3.279527187347412,3.670529127120972,3.20304012298584,0.1431477391607578,7,0,7,0,0,1,0,0,0.0008014481022281,0.0,0.0008014481022281
63a03880939c,train,261693.0,0.5304965729953969,22.84945686133039,43.07182746217034,8.272288521282572,1.7623704111305996,6.509918110151972,1.0274936706584832,84.90371894752315,1.3162259875748297,,1.0443762011289497,0.9302906392083372,1.265943931896662,1116,6803.0,3.1467654705047607,1.7515941858291626,3.334903717041016,2.652900457382202,3.2920620441436768,2.4909629821777344,0.2707208264850904,16755,735,15124,2,2,35,0,896,0.4802199811637976,0.0210660510985014,0.4334734106309325
63b4d030b016,train,256850.0,0.6289370853393021,21.00000751218167,33.389679193193835,6.032314580494452,0.7373953669456882,5.294919213548764,0.9914811506224368,80.44707091469681,1.1783139339981588,0.8049797087204738,0.9967851838659956,0.848217095335927,1.1448262536054772,661,3892.0,3.492138624191284,1.7636330127716064,4.162441730499268,3.0875391960144043,4.029492378234863,2.9449825286865234,0.1392647058823529,224432,207572,13692,3,8,24,0,3168,6.429887263819851,5.946854990044264,0.3922703376355484
63c3c571b8ee,train,262144.0,1.167574146698251,21.229052057419054,18.18218750171205,7.57598876953125,1.6391754150390625,5.936813354492188,,79.13715389568577,1.293797478846771,0.9565237892159816,0.8478501284163322,0.8957187218745623,1.2327813439934443,949,6212.0,3.558356046676636,1.910825610160828,3.2011373043060303,1.720094084739685,3.247633218765259,1.7535879611968994,0.2761035790014778,76976,17448,57698,3,23,22,0,1830,33.264191384913225,7.539929475212611,24.933450874645647
63d217b059b6,train,260181.0,0.5947792540195463,22.298549095168173,37.490462124348696,8.55635115554172,1.5915843201463598,6.964766835395359,1.0762764703941,83.24276692612719,1.3114375922883854,3.959797974644666,1.0136047177890155,0.8885027532052505,1.2577406989798878,1213,6809.0,3.3482003211975098,2.039803266525269,3.340670347213745,2.5510613918304443,3.3209757804870605,2.4545249938964844,0.2285193973842503,62154,54435,4502,2,28,4,3212,3217,1.7817398752661688,1.5604628842892476,0.1290567448345769
64a13949e879,train,256855.0,0.5990381557474596,19.34482597186148,32.29314491282055,9.662260808627437,0.5781472036752253,9.08411360495221,1.0473569204124615,85.30517470145953,1.3905803068274232,1.011867780144413,1.333806789742364,0.6523619267047097,1.3828342982912576,1902,9044.0,4.167632102966309,2.551198482513428,2.965991973876953,1.8931182622909544,3.006150960922241,1.9238529205322263,0.0636437663395191,125786,29796,65835,12,10,97,8771,30155,2.4611007901638926,0.5829818830690486,1.2881129101842803
64ac539f58cb,train,196090.0,0.379733780507603,11.07229570113631,29.158047741593062,6.389922994543322,1.0790963333163344,5.310826661226987,,77.53275806967082,1.1726053188196046,0.904563309047927,,0.9009959660677924,1.1171611312843863,397,3129.0,3.247227430343628,1.1231850385665894,4.275205135345459,2.9199838638305664,4.054275989532471,2.6827707290649414,0.2031880161321298,103,103,0,0,1,0,0,0,0.0069273782092929,0.0069273782092929,0.0
