image_id,dataset,split,label_6,retina_area_px,AVR,CRAE,CRVE,VD,AD,VeD,TI,CI,FD,ATI,VTI,AFD,VFD,JUNC,VLEN,AWID,AWID_SD,VWID,VWID_SD,WID,WID_SD,ADV_RATIO,LA,HA,EA,MAC,HE_COUNT,EX_COUNT,CTW_A,MA_A,LA_RET,HA_RET,EA_RET
002c21358ce6,combined,train,0,258118.0,0.9088107195007211,16.591734690989306,18.25653498024804,9.224075810288317,1.025887384839492,8.198188425448826,1.0797236261230418,89.94800693240902,1.2799523164738598,1.0486899558217369,1.0537319328388826,0.8330162652030535,1.2389458997404539,759,5770.0,3.175813913345337,1.7394664287567139,4.203794956207275,2.0605242252349854,4.049867153167725,2.046295642852783,0.12513586314446387,0,0,0,0,0,0,0,0,0.0,0.0,0.0
007-0034-000,combined,train,0,259778.0,0.45913848656328526,9.84636731768568,21.4453103058014,7.063338696887342,1.0597510181770589,6.003587678710283,1.0289668060662458,88.1374321880651,1.2543360847986946,0.9064933527526818,1.0303030303030303,0.8693061059211601,1.1964996285352374,1027,5530.0,2.782573938369751,0.9969911575317383,3.5607824325561523,1.9182369709014893,3.3952524662017822,1.8095201253890991,0.17651962041549116,252,0,0,0,0,0,0,252,0.12195003919822689,0.0,0.0
007-0073-000,combined,train,0,262006.0,0.6939418966112035,16.424066765719758,23.667783781214336,10.549758402479332,0.7431127531430578,9.806645649336275,1.0811661298333006,90.49424686192468,1.3496509395105987,1.0462287486943735,1.0509877084907764,0.8093153493231355,1.322838719081131,1226,7648.0,2.6628804206848145,1.187026858329773,3.7334117889404297,2.065788745880127,3.6178486347198486,2.0214085578918457,0.07577644586284736,36,0,26,1,0,1,0,10,0.017402065045052012,0.0,0.01256815808809312
007-0115-000,combined,train,0,253469.0,0.6386363904190984,10.922483424996464,17.102820304099332,7.5622659970252775,1.1855493176680383,6.376716679357239,1.0689596662275367,88.72713699141471,1.2546326612020129,,0.99629436608223,0.8960920130678972,1.2035234069934067,913,5358.0,2.8002068996429443,0.9344550967216492,3.729825496673584,1.7274909019470215,3.5277395248413086,1.6444591283798218,0.18591845573222793,659,0,659,0,0,1,0,0,0.3297093654470589,0.0,0.3297093654470589
007-0155-000,combined,train,0,261091.0,0.7076819834326726,17.7717659239821,25.112644295080983,8.618451038143789,1.9644491767238244,6.654001861419965,0.853280540022068,92.80133000831255,1.2786936029376539,0.8441501998324559,,0.9657168364073411,1.2039809789731795,860,6015.0,3.282491683959961,1.3609533309936523,3.8765103816986084,2.0079071521759033,3.7107861042022705,1.8825510740280151,0.29522822770966445,234,0,234,0,0,0,234,0,0.11800243064835779,0.0,0.11800243064835779
007-0183-000,combined,train,0,260185.0,0.32142691574457244,9.364470323927,29.134057744462947,9.63122393681419,0.9500932029133117,8.681130733900877,1.036596439440804,91.69378583604525,1.2992078253808137,0.8408409924953906,1.0114274412712,0.8582485051749467,1.2604668674021422,1163,6453.0,2.639218330383301,0.8795695304870605,4.130721569061279,2.5003483295440674,3.8979344367980957,2.3909239768981934,0.10944348519059637,0,0,0,0,0,0,0,0,0.0,0.0,0.0
007-0206-000,combined,train,0,261966.0,0.2759349106926558,8.356853254177535,30.28559609655785,10.271561958422085,0.9898231068153882,9.281738851606697,1.0417652992964876,90.06763527054109,1.3537361782149029,1.0213243599737853,1.0093957568695209,0.8893573976981545,1.3152739295156193,1620,7984.0,2.501067876815796,0.7654845714569092,3.650160551071167,2.1334285736083984,3.480581521987915,2.0346035957336426,0.10664199054081842,0,0,0,0,0,0,0,0,0.0,0.0,0.0
007-0262-000,combined,train,0,261753.0,0.5261126051162393,10.974764885463692,20.860106332253583,6.549686154504437,0.8252054417714411,5.724480712732996,1.12856836204869,81.27930341594106,1.275998815885453,1.0540925533894598,1.0196998570209217,0.8077754194052128,1.2314421805895872,936,5972.0,2.4906861782073975,0.8394485116004944,3.0611581802368164,1.5534839630126953,2.974811553955078,1.4853057861328125,0.1441537640149493,0,0,0,0,0,0,0,0,0.0,0.0,0.0
007-0321-000,combined,train,0,261748.0,0.37016756232140613,9.43321521401183,25.48363545107508,7.729571954704525,0.57039595335972,7.159176001344805,1.018629028297035,83.66766467065868,1.3113038790749891,0.8535950651895693,1.0168142875601873,0.7560422525575096,1.2886895182033289,1065,6680.0,2.5611560344696045,0.8041887879371643,3.240424633026123,1.8702130317687988,3.179321765899658,1.8167076110839844,0.07967340839959443,161,0,0,1,0,0,0,161,0.10873015337029708,0.0,0.0
007-0344-000,combined,train,0,261534.0,0.7911254100853983,13.414679688874386,16.956451553523397,6.788027560470149,1.386817775126752,5.401209785343397,1.1818190067678824,84.0701219512195,1.2430533393139043,0.8304547985373997,1.0761746886553085,0.9035833126355247,1.1785715850085026,883,5248.0,3.082782745361328,1.3118149042129517,3.5291101932525635,1.8022512197494507,3.4106717109680176,1.7033603191375732,0.25676058332153473,229,229,0,0,1,0,0,0,0.005915291985528457,0.005915291985528457,0.0
