,0,1,2,3,4
LA,-0.6644158425404889,-0.5221534295205862,0.043492872821576684,0.8708240628054514,0.5441657184148516
LA_RET,-0.15217750651318004,-0.13831242020056128,0.036692312715419034,0.11114992501848966,0.3667670862021277
HE_COUNT,-0.7472182666870849,-0.5729084109388038,-0.01158624463055833,1.0151848624582593,0.3579763597538922
MA_A,-0.6584921494188978,-0.3213601651821425,0.47925825707955677,0.30062235298680645,0.4208463025363468
HA,-0.4294818939190073,-0.34690349909078916,-0.15015320928969816,0.44571720086848515,0.8375429130400508
HA_RET,-0.12215594574921104,-0.11353325700724423,-0.049800831736648454,0.08298380285419124,0.4228041339150131
EA,-0.5586897773570456,-0.44838977958006904,0.17267105429732943,0.9025560289323453,-0.015171804708460957
EX_COUNT,-0.6535065216524566,-0.48175022830326614,0.1458521235113917,1.030403809878084,-0.1195625835396572
EA_RET,-0.16456616457739145,-0.15011209884012203,0.13971178309753912,0.12876031400684432,0.24691649655059578
MAC,-0.6682460861690152,-0.1738908743408518,0.4933931348667862,0.28351323397999434,0.2738490943996216
CTW_A,-0.399918113562637,-0.37078482077642494,0.11862236438227687,0.5332085200385667,0.4265353882752087
CRVE,0.42738922231575355,0.3498217145698761,0.040874835601741,-0.4069917596124468,-0.3335433236811697
AD,-0.14717964614967452,0.2346117031500471,0.0005711367540959426,0.028129717437546498,-0.24570263333519174
VLEN,0.340827478144467,0.0610747532726474,0.09323576804895634,0.20050383715370088,-0.47756630830612773
FD,0.3947720008396206,0.021866329672672807,0.09074787025762235,0.21827988964984865,-0.5181582462339159
